Gene family	p-value	FDR
RDE1	0.958	0.999
ALG1_2	0.999	0.999
ALG3_4	0.984	0.999
ALG5	0.906	0.999
ERGO1	0.001	0.0417591240875912
PRG1	0.997	0.999
CSR1	0.999	0.999
C04F12.1	0.867	0.999
WAGO1_3_4_5	0.882	0.999
WAGO6_7_8	0.044	0.999
WAGO9_10_12	0.009	0.311111782477341
OG0000006	0	0
OG0000018	0	0
OG0000020	0	0
OG0000031	0	0
OG0000032	0	0
OG0000033	0	0
OG0000042	0	0
OG0000044	0	0
OG0000047	0	0
OG0000049	0	0
OG0000051	0	0
OG0000052	0	0
OG0000053	0	0
OG0000054	0	0
OG0000058	0	0
OG0000059	0	0
OG0000061	0	0
OG0000062	0	0
OG0000063	0.072	0.999
OG0000066	0	0
OG0000070	0	0
OG0000071	0	0
OG0000072	0	0
OG0000076	0	0
OG0000077	0	0
OG0000079	0	0
OG0000080	0.772	0.999
OG0000081	0	0
OG0000084	0	0
OG0000085	0	0
OG0000086	0	0
OG0000089	0	0
OG0000090	0	0
OG0000092	0	0
OG0000093	0	0
OG0000094	0	0
OG0000096	0	0
OG0000097	0	0
OG0000098	0	0
OG0000099	0	0
OG0000100	0	0
OG0000102	0.027	0.78809693877551
OG0000103	0	0
OG0000105	0	0
OG0000108	0	0
OG0000109	0	0
OG0000110	0	0
OG0000116	0	0
OG0000119	0	0
OG0000120	0.002	0.0811489361702128
OG0000121	0	0
OG0000124	0	0
OG0000128	0	0
OG0000129	0	0
OG0000133	0	0
OG0000135	0	0
OG0000136	0	0
OG0000137	0	0
OG0000138	0	0
OG0000139	0	0
OG0000143	0	0
OG0000145	0.194	0.999
OG0000146	0	0
OG0000147	0	0
OG0000152	0	0
OG0000153	0	0
OG0000155	0	0
OG0000156	0.009	0.311111782477341
OG0000157	0	0
OG0000158	0	0
OG0000159	0	0
OG0000160	0	0
OG0000163	0	0
OG0000164	0	0
OG0000166	0	0
OG0000167	0	0
OG0000168	0	0
OG0000169	0.011	0.359605714285714
OG0000170	0.055	0.999
OG0000173	0.689	0.999
OG0000174	0	0
OG0000178	0.002	0.0811489361702128
OG0000179	0	0
OG0000183	0	0
OG0000184	0	0
OG0000185	0	0
OG0000189	0	0
OG0000190	0	0
OG0000191	0	0
OG0000194	0.527	0.999
OG0000196	0	0
OG0000199	0	0
OG0000200	0	0
OG0000201	0.001	0.0417591240875912
OG0000202	0	0
OG0000203	0	0
OG0000204	0	0
OG0000205	0.125	0.999
OG0000206	0	0
OG0000207	0.999	0.999
OG0000208	0	0
OG0000209	0.85	0.999
OG0000210	0.009	0.311111782477341
