Species	Non_coding_genome_length	Observed_Matches	Expected_Matches	Observed_Expected_Ratio	PRG1_Presence
C. sp2	31216518	4146	4806.908	0.862508706220298	Absent
C. plicata	91084718	13676	13014.34	1.05084084171767	Absent
C. drosophilae	30070111	4858	5446.622	0.891928979099339	Absent
C. astrocarya	32424534	5385	4946.739	1.08859594169007	Absent
C. bovis	43964001	7787	8107.377	0.960483273443433	Present
C. monodelphis	94445561	19183	19867.02	0.965570075431544	Present
C. japonica	125410907	27864	25794.25	1.08024075133024	Present
C. sp30	36631993	8277	7545.872	1.09689112139724	Present
C. parvicauda	73342654	16901	16094.87	1.05008614546126	Present
C. inopinata	95747022	25113	18121.49	1.3858131974799	Present
C. briggsae	74329581	20740	14700.89	1.41079893802348	Present
C. elegans	66884769	19558	12282.55	1.59234035277691	Present
C. sp8	45676990	13612	10713.42	1.27055599425767	Present
C. nigoni	95950975	28613	18950.57	1.50987542854911	Present
C. sp24	52109165	15622	11745.56	1.33003449814228	Present
C. zanzibari	73806792	22523	15064.47	1.49510736189192	Present
C. sp56	68055324	21833	15471.44	1.4111808597002	Present
C. kamaaina	55641204	18067	10812.85	1.67088232982054	Present
C. yunquensis	61923926	20111	13246.48	1.51821465023161	Present
C. portoensis	135906427	44485	30957.94	1.43694961615663	Present
C. tropicalis	52173045	17272	10243.31	1.68617370752228	Present
C. virilis	67990685	22816	11545	1.97626678215678	Present
C. sp27	134514228	45209	27206.24	1.66171437140891	Present
C. imperialis	45540601	15535	10016.6	1.55092546373021	Present
C. sp25	49490006	17074	10381.51	1.64465477565402	Present
C. oiwi	63542570	22177	12647.84	1.75342192817113	Present
C. tribulationis	71297638	25459	16493.11	1.54361427286909	Present
C. sp51	62874649	23228	12943.77	1.79453126871074	Present
C. afra	39469398	15259	9101.938	1.67645615691955	Present
C. waitukubuli	60173938	23665	13345.8	1.77321704206567	Present
C. latens	75442412	29693	16259.5	1.82619391740213	Present
C. sulstoni	41504216	16534	9822.759	1.68323380427027	Present
C. remanei	101349043	40651	21414.94	1.89825420944443	Present
C. sinica	90883723	36914	19389.18	1.9038453405456	Present
C. quiockensis	74694388	30880	14648.65	2.10804408597379	Present
C. wallacei	54976592	23158	10073.65	2.29886883105925	Present
C. doughertyi	95940073	40778	19883.29	2.0508678392761	Present
C. sp49	50004961	21463	10893.13	1.97032441548022	Present
C. sp54	126825494	56255	25250.66	2.22786255884005	Present
C. becei	57204797	26121	13318.27	1.96129076824543	Present
C. angaria	71873498	33374	14125.72	2.36264062999975	Present
C. sp33	83269732	38792	17734.46	2.18737982436454	Present
C. macrosperma	64474299	30211	14473.6	2.08731759893876	Present
C. brenneri	132499119	62921	28353.54	2.21915852482618	Present
C. castelli	53138778	25648	9797.312	2.61786089898944	Present
C. sp48	93711993	49447	19900.5	2.48471143941107	Present
C. nouraguensis	44601377	23886	10103.13	2.36421782160578	Present
C. dolens	80976846	47528	17452.32	2.72330555479157	Present
C. panamensis	50050603	33214	12100.3	2.74489062254655	Present
C. uteleia	70298034	54130	12924.08	4.18830586006896	Present
